name,position,color,bowl,task,success,failure_type,duration_s,timestamp,policy,mode
smolvla_simreal_simeval,1,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T22:57:42,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T22:58:41,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,3,red,left,put the red block in the left bowl,1,,28.3,2026-09-15T22:59:39,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:00:37,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,5,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:01:37,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,6,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:02:35,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,7,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:03:35,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,8,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:04:37,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,9,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:05:39,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:06:41,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,11,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:07:43,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,12,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:08:42,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,13,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:09:42,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:10:41,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,15,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:11:40,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:12:39,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,17,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:13:39,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,18,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:14:38,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,19,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:15:37,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
smolvla_simreal_simeval,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:16:36,/outputs/smolvla_so101_blocks_simreal_20000_ep0-49_100-149_150-249/checkpoints/020000/pretrained_model,sim
